"年別","月份","國家名稱","1-12歲","13-19歲","20-29歲","30-39歲","40-49歲","50-59歲","60歲以上","小計"
"Year","Month","Countries","1-12Years","13-19Years","20-29Years","30-39Years","40-49Years","50-59Years","60Years and Over","Subtotals"
"108","10","伊朗(Iran)","0","0","0","0","0","0","0","0"
"108","10","伊拉克(Iraq)","0","7","194","279","309","269","173","1231"
"108","10","巴林(Bahrain)","0","0","0","0","0","0","0","0"
"108","10","南葉門(South Yemen)","0","0","0","0","0","0","0","0"
"108","10","沙烏地阿拉伯(Saudi Arabia)","0","0","0","0","0","0","0","0"
"108","10","科威特(Kuwait)","0","0","0","0","0","0","0","0"
"108","10","卡達(Qatar)","0","0","0","0","0","0","0","0"
"108","10","阿曼(Oman)","0","0","0","0","0","0","0","0"
"108","10","以色列(Israel)","0","72","1866","2314","1581","1499","1240","8572"
"108","10","約旦(Jordan)","0","0","0","0","0","0","0","0"
"108","10","敘利亞(Syria)","0","0","0","0","0","0","0","0"
"108","10","黎巴嫩(Lebanon)","0","1","48","89","79","80","52","349"
"108","10","阿拉伯聯合大公國(United Arab Emirates)","81","37","1221","2406","2119","3228","3652","12744"
"108","10","葉門(Yemen)","0","0","0","0","0","0","0","0"
"108","10","土耳其(TURKEY)","31","31","621","1283","1455","2565","2590","8576"
"108","10","賽普勒斯(Cyprus)","0","0","0","0","0","0","0","0"
"108","10","阿富汗(觀光)(Afghanistan)","0","0","0","0","0","0","0","0"
"108","10","埃及(Egypt)","0","0","0","0","0","0","0","0"
"108","10","摩洛哥(Morocco)","0","0","0","0","0","0","0","0"
"108","10","阿爾及利亞(Algeria)","0","0","0","0","0","0","0","0"
"108","10","突尼西亞(Tunisia)","0","0","0","0","0","0","0","0"
"108","10","利比亞(Libya
)","0","0","0","0","0","0","0","0"
"108","10","蘇丹(Sudan)","0","0","0","0","0","0","0","0"
"108","10","索馬利亞(Somalia)","0","0","0","0","0","0","0","0"
"108","10","南非(S. Africa)","0","0","2","0","0","0","0","2"
"108","10","象牙海岸(Cote D'ivoire)","0","0","0","0","0","0","0","0"
"108","10","奈及利亞(Nigeria)","0","0","0","0","0","0","0","0"
"108","10","賴比瑞亞(Liberia)","0","0","0","0","0","0","0","0"
"108","10","幾內亞(Guinea)","0","0","0","0","0","0","0","0"
"108","10","安哥拉(Angola)","0","0","0","0","0","0","0","0"
"108","10","剛果共和國(Congo)","0","0","0","0","0","0","0","0"
"108","10","中非共和國(Central African)","0","0","0","0","0","0","0","0"
"108","10","波札那(Botswana)","0","0","0","0","0","0","0","0"
"108","10","喀麥隆(Cameroon)","0","0","0","0","0","0","0","0"
"108","10","查德(Chad)","0","0","0","0","0","0","0","0"
"108","10","衣索匹亞(Ethiopia)","0","0","0","0","0","0","0","0"
"108","10","加彭(Gabon)","0","0","0","0","0","0","0","0"
"108","10","甘比亞(Gambia)","0","0","0","0","0","0","0","0"
"108","10","迦納(Ghana)","0","0","0","0","0","0","0","0"
"108","10","肯亞(Kenya)","0","0","1","0","1","0","0","2"
"108","10","賴索托(Lesotho)","0","0","0","0","0","0","0","0"
"108","10","馬拉加西(Madagascar)","0","0","0","0","0","0","0","0"
"108","10","模里西斯(Mauritius)","0","0","0","0","0","0","0","0"
"108","10","馬利(Mali)","0","0","0","0","0","0","0","0"
"108","10","馬拉威(Malawi)","0","0","0","0","0","0","0","0"
"108","10","莫三鼻克(Mozambique)","0","0","0","0","0","0","0","0"
"108","10","尼日(Niger)","0","0","0","0","0","0","0","0"
"108","10","盧安達(Rwanda)","0","0","0","0","0","0","0","0"
"108","10","塞內加爾(Senegal)","0","0","0","0","0","0","0","0"
"108","10","獅子山(Sierra Leone)","0","0","0","0","0","0","0","0"
"108","10","坦桑尼亞(Tanzania)","0","0","0","0","0","0","0","0"
"108","10","烏干達(Uganda)","0","0","0","0","0","0","0","0"
"108","10","尚比亞(Zambia)","0","0","0","0","0","0","0","0"
"108","10","多哥(Togolese Republic)","0","0","0","0","0","0","0","0"
"108","10","辛巴威(Zimbabwe)","0","0","0","0","0","0","0","0"
"108","10","史瓦濟蘭(Swaziland)","0","0","0","0","0","0","0","0"
"108","10","布吉納法索(Burkina Faso)","0","0","0","0","0","0","0","0"
"108","10","貝南(Benin)","0","0","0","0","0","0","0","0"
"108","10","赤道幾內亞(Equatorial Guinea)","0","0","0","0","0","0","0","0"
"108","10","維德角島(Cape Verde)","0","0","0","0","0","0","0","0"
"108","10","吉布地(Djibouti)","0","0","0","0","0","0","0","0"
"108","10","西撒哈拉(Saharaui)","0","0","0","0","0","0","0","0"
"108","10","幾內亞比索(Guinea Bissau)","0","0","0","0","0","0","0","0"
"108","10","葛摩(Comoros)","0","0","0","0","0","0","0","0"
"108","10","留尼旺(Reunion)","0","0","0","0","0","0","0","0"
"108","10","聖多美及普林西比(Sao Tome & Principe)","0","0","0","0","0","0","0","0"
"108","10","美國(United States of America)","1257","449","5140","9204","8073","8193","12604","44920"
"108","10","加拿大(Canada)","270","164","1435","1802","1769","3123","3891","12454"
"108","10","百慕達(Bermuda)","0","0","0","0","0","0","0","0"
"108","10","墨西哥(Mexico)","0","0","0","0","0","0","0","0"
"108","10","巴拿馬(Panama)","0","0","0","0","0","0","0","0"
"108","10","巴貝多(Barbados)","0","0","0","0","0","0","0","0"
"108","10","巴哈馬(Bahamas)","0","0","0","0","0","0","0","0"
"108","10","古巴(Cuba)","0","0","0","0","0","0","0","0"
"108","10","哥斯達黎加(Costa Rica)","0","0","0","0","0","0","0","0"
"108","10","多明尼加(Dominican Rep.)","0","0","0","0","0","0","0","0"
"108","10","瓜地馬拉(Guatemala)","0","0","0","0","0","0","0","0"
"108","10","宏都拉斯(Honduras)","0","0","0","0","0","0","0","0"
"108","10","海地(Haiti)","0","0","0","0","0","0","0","0"
"108","10","牙買加(Jamaica)","0","0","0","0","0","0","0","0"
"108","10","尼加拉瓜(Nicaragua)","0","0","0","0","0","0","0","0"
"108","10","薩爾瓦多(El Salvador)","0","0","0","0","0","0","0","0"
"108","10","千里達及托貝哥(Trinidad)","0","0","0","0","0","0","0","0"
"108","10","聖文森(Saint Vincent)","0","0","0","0","0","0","0","0"
"108","10","貝里斯(Belize)","0","0","0","0","0","0","0","0"
"108","10","格瑞那達(Grenada)","0","0","0","0","0","0","0","0"
"108","10","聖露西亞(Saint Lucia)","0","0","0","0","0","0","0","0"
"108","10","聖克里斯多福(St. Christopher)","0","0","0","0","0","0","0","0"
"108","10","阿根廷(Argentina)","0","0","0","0","0","0","0","0"
"108","10","巴西(Brazil)","0","0","0","0","0","0","0","0"
"108","10","智利(Chile)","0","0","0","0","0","0","0","0"
"108","10","委內瑞拉(Venezuela)","0","0","0","0","0","0","0","0"
"108","10","玻利維亞(Bolivia)","0","0","0","0","0","0","0","0"
